,Producto,Marca,Precio,Tienda,Fecha,Medidas,Material,Cantidad,Venta agrupada
0,MACETERO S COLOMBA OUTZEN,OUTZEN,14990,Easy,18-02-2026,S,DESCONOCIDO,1,0
1,MACETERO 33 CM PIEDRA TAUPE REYPLAST,REYPLAST,9990,Easy,18-02-2026,33CM,DESCONOCIDO,1,0
2,MACETERO 14 CM BOHO NATURAL OUTZEN,OUTZEN,3493,Easy,18-02-2026,14CM,DESCONOCIDO,1,0
3,MACETERO 33 CM RUSTIC ROUND PLANTER IV JAPI,JAPI,19990,Easy,18-02-2026,33CM,DESCONOCIDO,1,0
4,MACETERO 11.5 CM HANOVER MOSTAZA JAPI,JAPI,2598,Easy,18-02-2026,11.5CM,DESCONOCIDO,1,0
5,MACETA PERRO DORMIDO 18X45X25 CM,OUTZEN,13993,Easy,18-02-2026,18X45X25,DESCONOCIDO,1,0
6,MACETA 34.5 CM FIBER CLAY CLOUD,OUTZEN,16990,Easy,18-02-2026,34.5CM,CEMENTICIO,1,0
7,MACETA BILLIE BLANCO 44.45 CM,OUTZEN,8393,Easy,18-02-2026,44.45CM,DESCONOCIDO,1,0
8,MACETERO 18 CM PIEDRA BLANCO REYPLAST,REYPLAST,2990,Easy,18-02-2026,18CM,DESCONOCIDO,1,0
9,MACETERO ENLOZADO BLANCO 14X12X12 CM,DECOGREEN,6990,Easy,18-02-2026,14X12X12,DESCONOCIDO,1,0
10,MACETERO 33 CM PIEDRA BLANCO REYPLAST,REYPLAST,9990,Easy,18-02-2026,33CM,DESCONOCIDO,1,0
11,MACETERO HAZEL MARRON OUTZEN,OUTZEN,6993,Easy,18-02-2026,SIN MEDIDAS,DESCONOCIDO,1,0
12,MACETERO S BASIC JADE OUTZEN,OUTZEN,4893,Easy,18-02-2026,S,DESCONOCIDO,1,0
13,MACETERO ESTILO PIEDRA AZUL ACERO 17X16.7X17 CM,REYPLAST,2990,Easy,18-02-2026,17X16.7X17,METAL,1,0
14,MACETERO N10 TAUPE 28 CM,REYPLAST,3990,Easy,18-02-2026,28CM,DESCONOCIDO,1,0
15,MACETERO 18 CM CAPRI ANTRACITA OUTZEN,OUTZEN,2093,Easy,18-02-2026,18CM,DESCONOCIDO,1,0
16,MACETERO M COLOMBA OUTZEN,OUTZEN,24990,Easy,18-02-2026,M,DESCONOCIDO,1,0
17,MACETERO L BASIC BLANCO OUTZEN,OUTZEN,10493,Easy,18-02-2026,L,DESCONOCIDO,1,0
18,MACETERO 18 CM ESTILO PIEDRA GREEN TERRA,REYPLAST,2990,Easy,18-02-2026,18CM,DESCONOCIDO,1,0
19,MACETA OLEANDER VERDE 15 CM,OUTZEN,2990,Easy,18-02-2026,15CM,DESCONOCIDO,1,0
20,MACETA OLEANDER ECRUE 15 CM,OUTZEN,2990,Easy,18-02-2026,15CM,DESCONOCIDO,1,0
21,MACETA BASE MADERA VERDE 21 CM,GENERICO,6993,Easy,18-02-2026,21CM,NATURAL,1,0
22,MACETERO DURA KOTTA Ndeg 10 ROSA TERRA 22.4X28.4 CM,REYPLAST,3990,Easy,18-02-2026,22.4X28.4,DESCONOCIDO,1,0
23,MACETERO PERRO OUTZEN,OUTZEN,20993,Easy,18-02-2026,SIN MEDIDAS,DESCONOCIDO,1,0
24,MACETA CERAMICA ALINE XL GLOSSY AZUL,OUTZEN,13993,Easy,18-02-2026,XL,CERAMICA,1,0
25,MACETERO 28 CM BOHO NATURAL OUTZEN,OUTZEN,10493,Easy,18-02-2026,28CM,DESCONOCIDO,1,0
26,MACETA VERDE 16 CM,OUTZEN,6993,Easy,18-02-2026,16CM,DESCONOCIDO,1,0
27,MACETA BASE MADERA OCRE 21 CM,OUTZEN,6993,Easy,18-02-2026,21CM,NATURAL,1,0
28,MACETA BILLIE BLANCO 28.6 CM,OUTZEN,2793,Easy,18-02-2026,28.6CM,DESCONOCIDO,1,0
29,MACETERO 57 CM RUSTIC ROUND PLANTER VI JAPI.,JAPI,49990,Easy,18-02-2026,57CM,DESCONOCIDO,1,0
30,MACETA BILLIE GRIS 28.6 CM,OUTZEN,2793,Easy,18-02-2026,28.6CM,DESCONOCIDO,1,0
31,MACETA 29 CM FIBER CLAY PUMPKIN,OUTZEN,12990,Easy,18-02-2026,29CM,CEMENTICIO,1,0
32,MACETERO ENLOZADO BLANCO 20X18X18 CM,DECOGREEN,12990,Easy,18-02-2026,20X18X18,DESCONOCIDO,1,0
33,MACETERO 24 CM BUDA OUTZEN,OUTZEN,17493,Easy,18-02-2026,24CM,DESCONOCIDO,1,0
34,MACETERO 20 CM S CANASTO NATURAL OUTZEN,OUTZEN,4193,Easy,18-02-2026,20CM,DESCONOCIDO,1,0
35,MACETA LORCA 21 CM,OUTZEN,6993,Easy,18-02-2026,21CM,DESCONOCIDO,1,0
36,MACETERO ENLOZADO MOSTAZA 17X15X15 CM,DECOGREEN,9990,Easy,18-02-2026,17X15X15,DESCONOCIDO,1,0
37,MACETERO HAZEL GRIS CLARO OUTZEN,OUTZEN,6993,Easy,18-02-2026,SIN MEDIDAS,DESCONOCIDO,1,0
38,MACETERO L CILINDRO CEMENTO DECOGREEN,DECOGREEN,9990,Easy,18-02-2026,L,CEMENTICIO,1,0
39,MACETERO CON PLATO BIODEGRADABLE BAMBOO CUADRADO BLANCO 12.4X13.3X13.3 CM,DECOGREEN,3990,Easy,18-02-2026,12.4X13.3X13.3,DESCONOCIDO,1,0
40,MACETERO ENLOZADO MOSTAZA 14X12X12 CM,DECOGREEN,6990,Easy,18-02-2026,14X12X12,DESCONOCIDO,1,0
41,MACETERO 16.8 CM HANOVER MOSTAZA JAPI,JAPI,5098,Easy,18-02-2026,16.8CM,DESCONOCIDO,1,0
42,MACETA BOCAYA 36 CM,OUTZEN,25193,Easy,18-02-2026,36CM,DESCONOCIDO,1,0
43,MACETERO 24 CM ACTUAL NEGRO,DECOGREEN,6990,Easy,18-02-2026,24CM,DESCONOCIDO,1,0
44,MACETA BILLIE GRIS 44.45 CM,OUTZEN,8393,Easy,18-02-2026,44.45CM,DESCONOCIDO,1,0
45,MACETA HUDSON ANTIQUE BASALT 33.02 CM,OUTZEN,6993,Easy,18-02-2026,33.02CM,DESCONOCIDO,1,0
46,MACETERO ENLOZADO BLANCO 3 PIEZAS,DECOGREEN,41990,Easy,18-02-2026,SIN MEDIDAS,DESCONOCIDO,1,0
